Starting... 
2024-07-23 20:12:33.699380: Namespace(data_dir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best', json_dir='/data4/nnUNet_raw_data_base/nnUNet_raw_data/Task018_AbdominalOrganSegmentation/', json_list='dataset.json', logdir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best', logfile='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best/log_2024_7_23_20_12_33.txt', method='nnUnet', niidir='/data3/predict_nii_nnUnet/018/SEDynnUNetTrainerV2-018best/output_nii', organs_file='organs14BTCV.key', out_channels=14) 
2024-07-23 20:12:33.887018: Inference on case ABD_005.nii.gz 
2024-07-23 20:13:48.005667:  Organ 8 HD: 4.0 
2024-07-23 20:13:48.005720:  Organ 8 IOU: 0.688859396945945 
2024-07-23 20:13:48.005765:  Organ 8 precision: 0.9587234806806589 
2024-07-23 20:13:48.005821:  Organ 8 recall: 0.7099139487282423 
2024-07-23 20:13:49.116712:  Organ 9 Dice: 0.8188778162002563 
2024-07-23 20:13:49.116905:  Organ 9 HD: 4.242640687119285 
2024-07-23 20:13:49.116956:  Organ 9 IOU: 0.6933048979935529 
2024-07-23 20:13:49.117012:  Organ 9 precision: 0.9603677764263392 
2024-07-23 20:13:49.117070:  Organ 9 recall: 0.7137253935286088 
2024-07-23 20:13:50.266338:  Organ 10 Dice: 0.6643946766853333 
2024-07-23 20:13:50.266534:  Organ 10 HD: 5.0990195135927845 
2024-07-23 20:13:50.266585:  Organ 10 IOU: 0.4974483881364832 
2024-07-23 20:13:50.266629:  Organ 10 precision: 0.8830553841022695 
2024-07-23 20:13:50.266672:  Organ 10 recall: 0.5325304199574556 
2024-07-23 20:13:51.498369:  Organ 11 Dice: 0.7365411520004272 
2024-07-23 20:13:51.498561:  Organ 11 HD: 5.385164807134504 
2024-07-23 20:13:51.498864:  Organ 11 IOU: 0.582956197486778 
2024-07-23 20:13:51.498915:  Organ 11 precision: 0.9361758358207392 
2024-07-23 20:13:51.498959:  Organ 11 recall: 0.6070836904864084 
2024-07-23 20:13:52.572668:  Organ 12 Dice: 0.6134663224220276 
2024-07-23 20:13:52.572859:  Organ 12 HD: 11.099516844518362 
2024-07-23 20:13:52.572911:  Organ 12 IOU: 0.44244604603059584 
2024-07-23 20:13:52.572956:  Organ 12 precision: 0.6037868190477783 
2024-07-23 20:13:52.573009:  Organ 12 recall: 0.623461262683119 
2024-07-23 20:13:53.676381:  Organ 13 Dice: 0.7382087707519531 
2024-07-23 20:13:53.676575:  Organ 13 HD: 2.449489742783178 
2024-07-23 20:13:53.676653:  Organ 13 IOU: 0.5850483007767815 
2024-07-23 20:13:53.676714:  Organ 13 precision: 0.8127187875570666 
2024-07-23 20:13:53.676758:  Organ 13 recall: 0.6762135938047883 
2024-07-23 20:13:53.677052: Mean Organ Dice: 0.8003625869750977 
2024-07-23 20:13:53.677135: Mean Organ mean_HD: 13.906682351905822 
2024-07-23 20:13:53.677190: Mean Organ mean_IOU: 0.6792631594681228 
2024-07-23 20:13:53.677241: Mean Organ mean_precision: 0.9048665799643085 
2024-07-23 20:13:53.677291: Mean Organ mean_recall: 0.7246304274833104 
2024-07-23 20:13:53.915460: Inference on case ABD_036.nii.gz 
2024-07-23 20:14:00.188771:  Organ 1 Dice: 0.9546890258789062 
2024-07-23 20:14:00.188972:  Organ 1 HD: 147.28832221272802 
2024-07-23 20:14:00.189025:  Organ 1 IOU: 0.9133062581984538 
2024-07-23 20:14:00.189070:  Organ 1 precision: 0.9400214410681026 
2024-07-23 20:14:00.189113:  Organ 1 recall: 0.9698216269461281 
2024-07-23 20:14:02.264269:  Organ 2 Dice: 0.9630927443504333 
2024-07-23 20:14:02.264463:  Organ 2 HD: 1.4142135623730951 
2024-07-23 20:14:02.264516:  Organ 2 IOU: 0.9288127888530334 
2024-07-23 20:14:02.264563:  Organ 2 precision: 0.9740969695064045 
2024-07-23 20:14:02.264606:  Organ 2 recall: 0.9523343432026463 
2024-07-23 20:14:04.354392:  Organ 3 Dice: 0.9623338580131531 
2024-07-23 20:14:04.354591:  Organ 3 HD: 1.4142135623730951 
2024-07-23 20:14:04.354644:  Organ 3 IOU: 0.9274021484407818 
2024-07-23 20:14:04.354691:  Organ 3 precision: 0.9701753250973555 
2024-07-23 20:14:04.354734:  Organ 3 recall: 0.9546180827457926 
2024-07-23 20:14:06.342523:  Organ 4 Dice: 0.8135923743247986 
2024-07-23 20:14:06.342718:  Organ 4 HD: 2.0 
2024-07-23 20:14:06.342770:  Organ 4 IOU: 0.6857612270692648 
2024-07-23 20:14:06.342816:  Organ 4 precision: 0.792732337563013 
2024-07-23 20:14:06.342860:  Organ 4 recall: 0.8355798747690112 
2024-07-23 20:14:08.333952:  Organ 5 Dice: 0.8784665465354919 
2024-07-23 20:14:08.334142:  Organ 5 HD: 3.7416573867739413 
2024-07-23 20:14:08.334195:  Organ 5 IOU: 0.7832727274303471 
2024-07-23 20:14:08.334241:  Organ 5 precision: 0.853610208564944 
2024-07-23 20:14:08.334284:  Organ 5 recall: 0.9048139125390121 
2024-07-23 20:14:11.883475:  Organ 6 Dice: 0.9765574336051941 
2024-07-23 20:14:11.883668:  Organ 6 HD: 2.0 
2024-07-23 20:14:11.883720:  Organ 6 IOU: 0.9541888126316928 
2024-07-23 20:14:11.883781:  Organ 6 precision: 0.9718264589965394 
